actual_profit,ask,bid,closed,date,deal,ecc,entry_ema,etf,expected_profit,fast_ema,name,order,price,slow_ema,symbol,tcc,time,trend,ttf,used_fractal,volume,win
-0.96,0,0,TRUE,24/01/2024,0,600,5,M5,12,8,FingerFractal,1168089736,0,20,AUDUSD-T,50,40:01.0,3,H1,TRUE,0.12,FALSE
-5.7,0,0,TRUE,24/01/2024,0,600,5,M5,11.78,8,FingerFractal,1168090819,0,20,AUDUSD-T,50,45:00.5,3,H1,TRUE,0.19,FALSE
-5.26,0,0,TRUE,24/01/2024,0,600,5,M5,11.04,8,FingerFractal,1168092196,0,20,USDCAD-T,50,00:03.7,3,H1,TRUE,0.12,FALSE
-5.64,0,0,TRUE,24/01/2024,0,600,5,M5,11.45,8,FingerFractal,1168093152,0,20,USDJPY-T,50,45:00.7,3,H1,TRUE,0.06,FALSE
-5.78,0,0,TRUE,24/01/2024,0,600,5,M5,11.22,8,FingerFractal,1168094936,0,20,AUDUSD-T,50,10:00.5,3,H1,TRUE,0.17,FALSE
-4.94,0,0,TRUE,24/01/2024,0,600,5,M5,11.26,8,FingerFractal,1168095004,0,20,USDJPY-T,50,15:00.5,3,H1,TRUE,0.17,FALSE
-5.3,0,0,TRUE,24/01/2024,0,600,5,M5,10.2,8,FingerFractal,1168096792,0,20,GBPUSD-T,50,10:00.4,3,H1,TRUE,0.05,FALSE
10.35,0,0,TRUE,24/01/2024,0,600,5,M5,10.34,8,FingerFractal,1168096965,0,20,BTCUSD-T,50,07:15:01,3,H1,TRUE,0.03,TRUE
10.49,0,0,TRUE,24/01/2024,0,600,5,M5,10.31,8,FingerFractal,1168098102,0,20,USDJPY-T,50,07:40:00,3,H1,TRUE,0.06,TRUE
10.5,0,0,TRUE,24/01/2024,0,600,5,M5,10.32,8,FingerFractal,1168099441,0,20,NZDUSD-T,50,08:00:04,3,H1,TRUE,0.06,TRUE
-5.33,0,0,TRUE,24/01/2024,0,600,5,M5,10.44,8,FingerFractal,1168099445,0,20,BTCUSD-T,50,00:04.7,3,H1,TRUE,0.04,FALSE
11.25,0,0,TRUE,24/01/2024,0,600,5,M5,11.24,8,FingerFractal,1168099443,0,20,USDCAD-T,50,08:00:05,3,H1,TRUE,0.12,TRUE
10.24,0,0,TRUE,24/01/2024,0,600,5,M5,10.24,8,FingerFractal,1168099455,0,20,AUDUSD-T,50,08:00:05,3,H1,TRUE,0.08,TRUE
-3.08,0,0,TRUE,24/01/2024,0,600,5,M5,11,8,FingerFractal,1168100188,0,20,SOLUSD-T,50,05:00.4,3,H1,TRUE,2,FALSE
9.6,0,0,TRUE,24/01/2024,0,600,5,M5,9.12,8,FingerFractal,1168100602,0,20,GBPUSD-T,50,08:10:01,3,H1,TRUE,0.03,TRUE
10.58,0,0,TRUE,24/01/2024,0,600,5,M5,10.56,8,FingerFractal,1168100605,0,20,USDJPY-T,50,08:10:01,3,H1,TRUE,0.06,TRUE
-5.85,0,0,TRUE,24/01/2024,0,600,5,M5,11.49,8,FingerFractal,1168105144,0,20,USDJPY-T,50,00:02.5,3,H1,TRUE,0.16,FALSE
11.18,0,0,TRUE,24/01/2024,0,600,5,M5,11.18,8,FingerFractal,1168105145,0,20,AUDUSD-T,50,09:00:02,3,H1,TRUE,0.13,TRUE
10.76,0,0,TRUE,24/01/2024,0,600,5,M5,9.76,8,FingerFractal,1168106197,0,20,GBPUSD-T,50,09:10:00,3,H1,TRUE,0.04,TRUE
-6.11,0,0,TRUE,24/01/2024,0,600,5,M5,11.93,8,FingerFractal,1168112203,0,20,USDJPY-T,50,10:00.6,3,H1,TRUE,0.11,FALSE
-5.92,0,0,TRUE,24/01/2024,0,600,5,M5,11.84,8,FingerFractal,1168115976,0,20,EURUSD-T,50,50:00.4,3,H1,TRUE,0.08,FALSE
-6.88,0,0,TRUE,24/01/2024,0,600,5,M5,13.12,8,FingerFractal,1168116520,0,20,GBPUSD-T,50,55:00.3,3,H1,TRUE,0.16,FALSE
-4.98,0,0,TRUE,24/01/2024,0,600,5,M5,9.93,8,FingerFractal,1168118315,0,20,BTCUSD-T,50,25:00.5,3,H1,TRUE,0.03,FALSE
-6.38,0,0,TRUE,24/01/2024,0,600,5,M5,12.88,8,FingerFractal,1168118662,0,20,ETHUSD-T,50,30:00.9,3,H1,TRUE,0.56,FALSE
-5.54,0,0,TRUE,24/01/2024,0,600,5,M5,10.89,8,FingerFractal,1168120225,0,20,BTCUSD-T,50,00:02.4,3,H1,TRUE,0.03,FALSE
12.54,0,0,TRUE,24/01/2024,0,600,5,M5,12.54,8,FingerFractal,1168122115,0,20,AUDUSD-T,50,12:30:00,3,H1,TRUE,0.19,TRUE
-10.68,0,0,TRUE,24/01/2024,0,600,5,M5,12.6,8,FingerFractal,1168131889,0,20,NZDUSD-T,50,20:00.6,3,H1,TRUE,0.06,FALSE
-6.45,0,0,TRUE,24/01/2024,0,600,5,M5,12.65,8,FingerFractal,1168131894,0,20,USDCAD-T,50,20:00.6,3,H1,TRUE,0.17,FALSE
-6.12,0,0,TRUE,24/01/2024,0,600,5,M5,11.64,8,FingerFractal,1168149860,0,20,GBPUSD-T,50,00:03.7,3,H1,TRUE,0.06,FALSE
-5.7,0,0,TRUE,24/01/2024,0,600,5,M5,11.38,8,FingerFractal,1168151613,0,20,USDCAD-T,50,15:00.9,3,H1,TRUE,0.06,FALSE
9.31,0,0,TRUE,24/01/2024,0,600,5,M5,11.19,8,FingerFractal,1168169759,0,20,USDCAD-T,50,20:00:03,3,H1,TRUE,0.14,TRUE
