actual_profit,ask,bid,closed,date,deal,ecc,etf,expected_profit,first_sma,mfi_sma,name,order,price,second_sma,symbol,tcc,time,ttf,volume,win
0,247406.65,247353.65,False,2024-01-24,3650256993,576,M15,23.04,5,15,RADI,3729105034,247406.65,15,Volatility 75 Index,48,03:00:01.363089,H1,0.016,False
0,8402.35,8400.82,False,2024-01-24,3650335503,576,M15,23.99,5,15,RADI,3729198799,8402.35,15,Volatility 75 (1s) Index,48,04:30:00.652955,H1,1.463,False
0,209747.22,209724.48,False,2024-01-24,3650379213,576,M15,24.0,5,15,RADI,3729251874,209747.22,15,Volatility 50 (1s) Index,48,05:15:00.669269,H1,0.04,False
0,8374.34,8372.81,False,2024-01-24,3650394158,576,M15,23.99,5,15,RADI,3729270120,8374.34,15,Volatility 75 (1s) Index,48,05:30:00.965349,H1,1.463,False
0,9363.22,9363.0,False,2024-01-24,3650563249,576,M15,24.0,5,15,RADI,3729468351,9363.0,15,Volatility 10 (1s) Index,48,08:00:02.323017,H1,10.0,False
0,514752.31,514722.47,False,2024-01-24,3650797544,576,M15,23.76,5,15,RADI,3729734395,514722.47,15,Volatility 25 (1s) Index,48,10:45:00.720674,H1,0.09,False
0,231.5747,231.5457,False,2024-01-24,3650872275,576,M15,24.0,5,15,RADI,3729818827,231.5457,15,Volatility 50 Index,48,11:30:01.229170,H1,75.0,False
0,262663.12,262610.12,False,2024-01-24,3651273258,576,M15,23.04,5,15,RADI,3730270402,262663.12,15,Volatility 75 Index,48,16:00:01.257360,H1,0.016,False
0,228.9265,228.8975,False,2024-01-24,3651431128,576,M15,24.0,5,15,RADI,3730441404,228.8975,15,Volatility 50 Index,48,17:45:00.368863,H1,75.0,False
0,211039.17,211016.43,False,2024-01-24,3651494859,576,M15,24.0,5,15,RADI,3730510704,211039.17,15,Volatility 50 (1s) Index,48,18:30:00.744657,H1,0.04,False
0,514983.25,514953.41,False,2024-01-24,3651494916,576,M15,23.76,5,15,RADI,3730510805,514953.41,15,Volatility 25 (1s) Index,48,18:30:00.838398,H1,0.09,False
